date,username,to,replies,retweets,favorites,Sentiment,text,geo,mentions,hashtags,id,permalink
2020-03-02 18:15,KevinClamato,,0,0,0,Negative,"If you believe that, I’ve got a bridge to sell you. 52 ppl at a nursing home in #Kirkland, #WA all show symptoms. They haven’t been tested yet. They were just visited by nursing students from a COLLEGE CAMPUS. Numbers are going to explode. #Coronavirus #COVID19",,,#Kirkland #WA #Coronavirus #COVID19,1.23E+18,https://twitter.com/KevinClamato/status/1234164629556932608
2020-03-03 19:46,scott6768,QTRResearch,0,0,0,Neutral,The college where my wife teaches just told their faculty/staff they were bringing back students who are learning abroad in covid-19 infested countries to reintegrate into classes here so they could finish the semester. No word if they’ll be quarantined or tested before re-entry,,,,1.23E+18,https://twitter.com/scott6768/status/1234542941667876864
2020-03-03 20:15,claireadactyl,micahswildheart,1,0,1,Negative,"Spanish and INTERNATIONAL HEALTH major here! the death rate is about 2% with the COVID-19 virus, the flu is much deadlier! I understand sending students home from the hot-spot countries (Italy, China, South Korea, etc) but it feels silly to be sending them home from other places!",,,,1.23E+18,https://twitter.com/claireadactyl/status/1234928073268584448
2020-03-03 21:19,DanMannarino,,0,8,5,Neutral,Update: #NYC Student who has #Coronavirus symptoms attends Yeshiva University. Waiting on test results while Father is hospitalized with the confirmed virus. Here’s what the college is saying. #COVID19 pic.twitter.com/wOJOfjjfaL,,,#NYC #Coronavirus #COVID19,1.23E+18,https://twitter.com/DanMannarino/status/1234935441301942295
2020-03-04 00:46,El_Rookie20,,1,0,0,Neutral,"Heard on @NPR that @ClemsonUniv is telling all their students abroad (Italy) to return home. But why? If they are already there, they can make sure to seek any medical advice or treatment instead of bringing the COVID19 back home with them.. I might be 100% wrong but oh well",,#NAME?,,1.23E+18,https://twitter.com/El_Rookie20/status/1234951452977770496
2020-03-04 12:41,ljabbo,,1,0,0,Neutral,@travelocity are you making any exceptions for disrupted travel plans for #StudyAbroad #ClemsonUniversity students who were abruptly told to get back to US because of #Covid_19,,#NAME?,#StudyAbroad #ClemsonUniversity #Covid_19,1.24E+18,https://twitter.com/ljabbo/status/1235003718195728389
2020-03-04 13:03,Maggie_Nearpod,,0,2,5,Neutral,Need help explaining #COVID19 to students? Check out this Nearpod lesson released a few weeks ago and updated today. https://lnkd.in/edm2wkm Message me to learn how we're supporting learning during school closures around the world! #edtech #edu #edchatpic.twitter.com/RzHa7ap8Ka,,,#COVID19 #edtech #edu #edchatpic,1.24E+18,https://twitter.com/Maggie_Nearpod/status/1235183559318687750
2020-03-04 19:08,richardnaz,sundarpichai,0,0,0,Neutral,Google rolling out free access to their advanced Google Hangouts for schools and their students impacted by the Covid-19 virus so they can continue study at home. https://twitter.com/sundarpichai/status/1234887183896461313 …,,,,1.24E+18,https://twitter.com/richardnaz/status/1235189113214640129
2020-03-05 11:51,Bhargav_jgandhi,,1,0,0,Neutral,"@MoHFW_INDIA I am a graduate student studying in USA, as a part of academic subject, a group of 5 of us are traveling to Delhi and Ahmedabad in mid March for a week. With the ongoing COVID-19, is it advisable to travel ?",,#NAME?,,1.24E+18,https://twitter.com/Bhargav_jgandhi/status/1235281047400648704
2020-03-05 14:11,klundstromatvrg,,0,0,1,Neutral,"The challenge we are all facing ... can/how moget we make online school = online learning? Here comes our test... Seattle-area school district closes due to COVID-19, will move 23K students to online learning https://www.geekwire.com/2020/seattle-school-district-closes-2-weeks-due-covid-19-will-switch-online-learning-platform/ … via @GeekWire",,#NAME?,,1.24E+18,https://twitter.com/klundstromatvrg/status/1235533418022109185
2020-03-05 20:09,JuliaHMullins,,0,0,2,Positive,I don’t remember exactly what I was doing at his age...but it certainly wasn’t anything as cool as this #COVID19 dashboard created by 17-yr-old WA student Ari Schiffmann. http://Ncov2019.live,,,#COVID19,1.24E+18,https://twitter.com/JuliaHMullins/status/1235568649693470720
2020-03-06 11:34,MsWZ,EHolubowich,0,0,1,Neutral,Kids school has students leaving for Nashville in the AM. Tornadoes AND covid19 8-/,,,,1.24E+18,https://twitter.com/MsWZ/status/1235658666117943296
2020-03-06 19:29,gijara,MollyMcKew,0,1,2,Negative,Our superintendent has already addressed the issue of food insecurity among its students in the event of closures due to #COVID19 I take solace in the fact there are thousands of smart competent ppl who don’t need direction from the lunatic in the WH.,,,#COVID19,1.24E+18,https://twitter.com/gijara/status/1235891410747957253
2020-03-06 22:37,hwlamb01,,0,0,15,Neutral,"So COVID-19 has cancelled Experimental Biology 2020. I will miss seeing friends as well as watching with pride as my students and faculty members present. I support the decision, but still yearn for San Diego weather! pic.twitter.com/BFIppfMTRo",,,,1.24E+18,https://twitter.com/hwlamb01/status/1236011073003827207
2020-03-07 14:18,HannahPollock6,,0,0,1,Neutral,I would also like to hear from SU students who chose to travel despite the COVID-19 concern.,,,,1.24E+18,https://twitter.com/HannahPollock6/status/1236058401223868419
2020-03-07 18:02,ProfHernandez2,MC_SOCYANTHCCJS,0,1,1,Neutral,FYI for ALL @montgomerycoll students and faculty: review this webpage in the event of temporary College closure due to COVID-19: https://www.montgomerycollege.edu/offices/elite/emergency-remote-teaching-guidelines.html …,,#NAME?,,1.24E+18,https://twitter.com/ProfHernandez2/status/1236295048737763330
2020-03-07 18:58,CBPPortDirJFK,,0,1,23,Positive,"On Saturday, #CBP, the Port Authority of NY&NJ, CDC & local EMTs will process a chartered flight from Italy carrying CUNY/SUNY students, faculty & staff impacted by the #COVID19 outbreaks. We are proud of the collaborative efforts @JFKairport to safely repatriate these travelers.",,#NAME?,#CBP #COVID19,1.24E+18,https://twitter.com/CBPPortDirJFK/status/1236351470901043207
2020-03-07 20:24,SabirS,,0,0,1,Neutral,Will college students cancel their SPRING BREAK due to Corona Virus COVID-19? #COVID19 #SpringBreakpic.twitter.com/bFM5qDLq5L,,,#COVID19 #SpringBreakpic,1.24E+18,https://twitter.com/SabirS/status/1236365716489723904
2020-03-07 22:10,tcrean14,,5,0,8,Negative,GW is taking the students who were in contact with COVID-19 out of quarantine. What? So they’re going to be in classes this week? Seems incredibly irresponsible.,,,,1.24E+18,https://twitter.com/tcrean14/status/1236387239774617602
2020-03-08 01:15,WalterKimPGA,,0,0,1,Neutral,@British_Airways need to help concern parent get student abroad back home and not just neglect them. Was told wrong information from CS. Make it right. http://ba.com/contact #inflexiblechangepolicy #italylevel3 #WorldHealthOrganization #cdcemergency #COVID19,,#NAME?,#inflexiblechangepolicy #italylevel3 #WorldHealthOrganization #cdcemergency #COVID19,1.24E+18,https://twitter.com/WalterKimPGA/status/1236413884694757376
2020-03-08 19:05,livingjeff,,2,0,0,Neutral,#NAME?,,#NAME?,,1.24E+18,https://twitter.com/livingjeff/status/1236460606322073602
2020-03-08 21:07,DaveStansberry,AP,0,0,0,Negative,"#COVID19 drops in the South. ""Alright, now that there's a pandemic, let's find another way for students sweat in close quarters to one another."" Lol of course this was a stupid ban, the timing is just funny. https://twitter.com/AP/status/1236728866028257280 …",,,#COVID19,1.24E+18,https://twitter.com/DaveStansberry/status/1236729649914314754
2020-03-09 00:54,tm1ke_,,0,0,0,Neutral,"Chancellor Donde Plowman: Class Hiatus to Protect Students From COVID-19, UTK - Sign the Petition! http://chng.it/wH8Jc2Ts via @Change",,#NAME?,,1.24E+18,https://twitter.com/tm1ke_/status/1236760495803244545
2020-03-09 01:02,FateneBH,,2,1,3,Negative,Columbia U is cancelling all in-person classes tomorrow and Tuesday after a student was exposed to #Covid19. Remote classes starting Wednesday after that. It is getting a little scary,,,#Covid19,1.24E+18,https://twitter.com/FateneBH/status/1236817607904419841
2020-03-09 10:45,sreecharan93,,1,0,1,Neutral,Do we have word from @UW (and perhaps @Stanford) about how remote classes are going? Impressions from faculty/students? Tips for other universities likely to follow suit? It’s early days but we can help each other be more prepared. #COVID19 #AcademicTwitter #AcademicChatter,,#NAME?,#COVID19 #AcademicTwitter #AcademicChatter,1.24E+18,https://twitter.com/sreecharan93/status/1236819614375514112
2020-03-09 13:20,allyson_wilson,,0,3,2,Neutral,". @DCISchool closed Monday, March 9th. School emailed parents just before 1am to report that a staff member may have had exposure to the COVID-19 virus. Admin will deep clean & disinfect building. Students advised to keep up with work on #GoogleClassrooms. #COVIDー19",,#NAME?,#GoogleClassrooms #COVIDー19,1.24E+18,https://twitter.com/allyson_wilson/status/1236966399203033094
2020-03-09 16:11,demozie,JessicaCalarco,0,0,1,Neutral,"Valid concerns to address as colleges fight #COVID19, particularly those serving a large number of low-income students. #highereducationhttps://twitter.com/JessicaCalarco/status/1235631175026302977 …",,,#COVID19 #highereducationhttps,1.24E+18,https://twitter.com/demozie/status/1237005408964878336
2020-03-09 17:35,TimScottTV,,0,1,0,Neutral,Important to note that these two students are NOT among the four presumptive positive cases for COVID-19 in Camden.,,,,1.24E+18,https://twitter.com/TimScottTV/status/1237048393140224001
2020-03-09 19:42,MeaningfulMindx,,1,0,2,Neutral,"Joining nearly 3,000 educators from 450+ schools today in @GOAlearning’s Designing for Online Learning. Starting w student #agency + the importance of clear, routine, and personal #online communication = makes #learning more effective and builds confidence + connection. #COVID19 pic.twitter.com/h0bV1QHPIM",,#NAME?,#agency #online #learning #COVID19,1.24E+18,https://twitter.com/MeaningfulMindx/status/1237069552250486784
2020-03-09 21:40,kushspatel,,0,0,0,Negative,"President of the University of Maryland Wallace D. Loh: Coronavirus (COVID-19), poses an ENORMOUS threat to UMD Students!!! - Sign the Petition! http://chng.it/QNtKTMf8 via @Change",,#NAME?,,1.24E+18,https://twitter.com/kushspatel/status/1237101554936807424
2020-03-10 03:10,charles_leroy,,0,1,2,Positive,CUNY & SUNY students: I feel your anxiety. Stay strong. Take no chances. You are #strongerthanCOVID19 #COVID19 #coronavirus #nysclean #MTA #COVID2019 #NewYork #CoronavirusOutbreak #cuny #sunypic.twitter.com/BPU1t5ZOpn,,,#strongerthanCOVID19 #COVID19 #coronavirus #nysclean #MTA #COVID219 #NewYork #CoronavirusOutbreak #cuny #sunypic,1.24E+18,https://twitter.com/charles_leroy/status/1237131281630183425
2020-03-10 04:56,Green4Ward3,TAPHawthorne,0,0,1,Neutral,"I support Superintendent @rspirito11 taking the time to address the importance of COVID-19 & working to prepare our schools. There needs to be a plan. I trust in him, the Hawthorne Board of Education & administration to ensure the safety of our students! #Hawthorne #HawthorneNJhttps://twitter.com/TAPHawthorne/status/1237210855412060160 …",,#NAME?,#Hawthorne #HawthorneNJhttps,1.24E+18,https://twitter.com/Green4Ward3/status/1237214213581557760
2020-03-10 10:39,Madison16Paige,,0,0,0,Neutral,"Chancellor Donde Plowman: Class Hiatus to Protect Students From COVID-19, UTK - Sign the Petition! http://chng.it/gLBNJRR4 via @Change",,#NAME?,,1.24E+18,https://twitter.com/Madison16Paige/status/1237240995701383168
2020-03-10 11:24,wallerABC7,,4,10,13,Neutral,"#breaking in Rockland County, NY — Ramapo High School, Pomona Middle School and Hempstead Elementary School will be shut down through March 21 after three students tested positive for COVID-19. #abc7NY",,,#breaking #abc7NY,1.24E+18,https://twitter.com/wallerABC7/status/1237327164971929600
2020-03-10 12:24,brettaok,,0,0,1,Negative,"“It’s 6:30a, I’m at the airport, wearing a captain’s hat, drinking a Bold Rock. Ain’t no COVID-19 harshing my spring break mellow”. - Inner monologue of the college student next to me.… https://www.instagram.com/p/B9jSVjcFfuEpG1Q66Z_sn5MQhup4Fxs8uX7mEg0/?igshid=1883dj0htumiu …",,,,1.24E+18,https://twitter.com/brettaok/status/1237338654227476480
2020-03-10 12:33,kimacquaviva,,3,2,32,Negative,Thread COVID-19 travel restrictions are going to make it difficult for international students to tour the US colleges & universities that have recently extended offers of admission to them. 1/,,,,1.24E+18,https://twitter.com/kimacquaviva/status/1237353676156665856
2020-03-10 12:35,shubasu,BougieCow,0,1,2,Neutral,"Hi, I'm a @WNYC reporter looking to speak to CUNY students who are concerned about COVID-19, especially if you or people in your household have underlying health conditions/are over 60. If that describes you & you're up to talk, please send me an email sbasu@wnyc.org. Thanks.",,#NAME?,,1.24E+18,https://twitter.com/shubasu/status/1237355969283272704
2020-03-10 12:36,shubasu,LadySmurff,2,0,11,Neutral,"Hi, I'm a @WNYC reporter looking to speak to CUNY students who are concerned about COVID-19, especially if you or people in your household have underlying health conditions/are over 60. If that describes you & you're up to talk, please send me an email sbasu@wnyc.org. Thanks.",,#NAME?,,1.24E+18,https://twitter.com/shubasu/status/1237356299362467840
2020-03-10 12:37,shubasu,Ten90JJ,0,0,3,Neutral,"Hi, I'm a @WNYC reporter looking to speak to CUNY students who are concerned about COVID-19, especially if you or people in your household have underlying health conditions/are over 60. If that describes you & you're up to talk, please send me an email sbasu@wnyc.org. Thanks.",,#NAME?,,1.24E+18,https://twitter.com/shubasu/status/1237356755086184448
2020-03-10 12:36,shubasu,wishuponamark,1,0,2,Neutral,"Hi, I'm a @WNYC reporter looking to speak to CUNY students who are concerned about COVID-19, especially if you or people in your household have underlying health conditions/are over 60. If that describes you & you're up to talk, please send me an email sbasu@wnyc.org. Thanks.",,#NAME?,,1.24E+18,https://twitter.com/shubasu/status/1237356599230050307
2020-03-10 12:52,shubasu,NighttimeEsme,0,0,3,Neutral,"Hi, I'm a @WNYC reporter looking to speak to CUNY students who are concerned about COVID-19, especially if you or people in your household have underlying health conditions/are over 60. If that describes you & you're up to talk, please send me an email sbasu@wnyc.org. Thanks.",,#NAME?,,1.24E+18,https://twitter.com/shubasu/status/1237356928810061824
2020-03-10 12:37,shubasu,lauraleeTRB,0,0,0,Neutral,"Hi, I'm a @WNYC reporter looking to speak to CUNY students who are concerned about COVID-19, especially if you or people in your household have underlying health conditions/are over 60. If that describes you & you're up to talk, please send me an email sbasu@wnyc.org. Thanks.",,#NAME?,,1.24E+18,https://twitter.com/shubasu/status/1237356833985175553
2020-03-10 13:52,shubasu,CUTMYLlPLlVE,0,0,1,Neutral,"Hi, I'm a @WNYC reporter looking to speak to CUNY students who are concerned about COVID-19, especially if you or people in your household have underlying health conditions/are over 60. If that describes you & you're up to talk, please send me an email sbasu@wnyc.org. Thanks.",,#NAME?,,1.24E+18,https://twitter.com/shubasu/status/1237360645479301120
2020-03-10 13:54,SarahMolinari,,1,0,3,Neutral,"@GC_CUNY sent out a #COVID19 update last night. Public programs and gatherings over 20 ppl are cancelled, faculty/staff travel through April must be cancelled, but classes are still being held. *No mention of guidance or support for uninsured and/or undocumented students.*",,#NAME?,#COVID19,1.24E+18,https://twitter.com/SarahMolinari/status/1237375809364660224
2020-03-10 16:21,ngeidner,,6,1,4,Neutral,Hey y’all! I am teaching a soph/junior-level reporting class this semester. We are just moving in to focusing on their big outside story. It was supposed to be about the economics of being a student. I was thinking about changing to covering the response to COVID-19. Thoughts?,,,,1.24E+18,https://twitter.com/ngeidner/status/1237376252706615296
2020-03-10 17:07,shubasu,,2,5,20,Neutral,"Have any #CUNY students received this survey in classes today? I received this via a student @CityTechNews but curious to know if it's CUNY-wide: #COVID19 ""If the in-person instruction is cancelled, do you have access to technology from Off-campus using your personal devices?"" pic.twitter.com/AOp41rA3DT",,#NAME?,#CUNY #COVID19,1.24E+18,https://twitter.com/shubasu/status/1237413347106197507
2020-03-10 17:41,GavinMacSkin,,0,3,6,Neutral,#Harvard Moves All Classes Online starting March 23. Asks Students Not to Return After Spring Break In Response to #Coronavirus. #University President Lawrence S. Bacow announced in an email Tuesday morning. #COVID19 https://www.thecrimson.com/article/2020/3/11/harvard-coronavirus-classes-cancelled/#.XmfIbDC0a0I.twitter …,,,#Harvard #Coronavirus #University #COVID19 #,1.24E+18,https://twitter.com/GavinMacSkin/status/1237424733311979522
2020-03-10 17:46,morgandiane,,1,0,3,Negative,Also thinking about the under/unpaid labor that will fall MOSTLY on grad student/adjunct fac. in this abrupt transition. I left my teaching assistantship because I was undervalued for too much work. Can’t imagine also having to redo entire classes mid-semester #phdchat #COVID19,,,#phdchat #COVID19,1.24E+18,https://twitter.com/morgandiane/status/1237433477726953477
2020-03-10 17:52,morgandiane,,1,0,3,Neutral,"Imagine how helpful it would be to have unions working with university administrations to figure out a solution to #covid19 that also protects the health and dignity of grad student and adjunct faculty. #phdchat #AcademicTwitter If you want to talk organizing offline, DM me",,,#covid19 #phdchat #AcademicTwitter,1.24E+18,https://twitter.com/morgandiane/status/1237434671413301250
2020-03-10 18:24,ShelbyWKYT,,3,7,6,Neutral,Officials announced school is OUT for @bereacollege students this Friday to keep students & staff safe in case #COVID19 were to affect someone on campus. Move out scheduled for Saturday. @WKYTpic.twitter.com/1jIsVibiTK,,#NAME?,#COVID19,1.24E+18,https://twitter.com/ShelbyWKYT/status/1237436152459792385
2020-03-10 18:26,DavindranauthS,,0,1,2,Neutral,Felix V. Matos Rodriguez: SAVE THE CUNY STUDENTS - Sign the Petition! http://chng.it/NhNsKfHK via @Change #CUNY #Cuny2020 #COVID19 #CoronavirusOutbreak #CoronaVirus #Coronavirusnyc #CoronaVirusCUNY @NYGovCuomo @NYCMayor @BilldeBlasio @NYCMayorsOffice @CUNY @CUNYRegistrar,,#NAME?,#CUNY #Cuny22 #COVID19 #CoronavirusOutbreak #CoronaVirus #Coronavirusnyc #CoronaVirusCUNY,1.24E+18,https://twitter.com/DavindranauthS/status/1237444275455082496
2020-03-10 18:34,kid_nour,TowsonUNews,0,0,1,Neutral,"@umterps @presidentloh UMD should follow suit, seeing as our campus is highly populated (~30,000) and there is a confirmed COVID-19 case in Prince George’s County, AND our student body and faculty will be traveling all over the country for spring break next week. In this essay I- https://twitter.com/TowsonUNews/status/1237439937798197249 …",,#NAME?,,1.24E+18,https://twitter.com/kid_nour/status/1237444711604015104
2020-03-10 18:42,niner_times,,1,4,13,Neutral,"According to a NinerNotice sent to UNC Charlotte faculty, staff and students, UNC Charlotte is in contact with “local, state and System officials” regarding the coronavirus (COVID-19). The UNC System Coordinating Group is meeting late tomorrow morning to discuss campus decisions.",,,,1.24E+18,https://twitter.com/niner_times/status/1237446740036517888
2020-03-10 18:50,jasemichaelnyc,,0,1,1,Negative,"So, @Harvard is closing for #COVID19 concerns but @NYCMayor won’t close the NYC DOE to protect the health of students and staff. Cool.",,#NAME?,#COVID19,1.24E+18,https://twitter.com/jasemichaelnyc/status/1237448667755356163
2020-03-10 19:12,AbbyLoisel,,0,0,7,Negative,The frozen food situation at Trader Joe’s right now. A worker saw me taking the photo and told me that she’s a #CUNY student furious that her school isn’t taking the situation seriously. #COVID19 pic.twitter.com/B5dQmyGJoM,,,#CUNY #COVID19,1.24E+18,https://twitter.com/AbbyLoisel/status/1237450659449929728
2020-03-10 19:50,lanetigers,,0,0,0,Neutral,Will the universities in Jamaica offer classes online to students if there is an outbreak? How about public schools and the tablets in schools program??? #COVID19 #Jamaica,,,#COVID19 #Jamaica,1.24E+18,https://twitter.com/lanetigers/status/1237456414160887809
2020-03-10 21:22,Jonnyrashid,,0,0,2,Neutral,"Temple prepares students, faculty for COVID-19: https://temple-news.com/temple-prepares-students-faculty-for-covid-19/ …",,,,1.24E+18,https://twitter.com/Jonnyrashid/status/1237465984778240001
2020-03-10 21:28,ValorOfficialCo,therealkenvalor,0,1,3,Neutral,"By the time symptoms appear it will have already spread out to other students like wildfire and it will be massive. Please, be smart, CARE about the community and who it’s affecting and #CloseTheSchools #CUNY #coronavirus #COVID19 #CoronavirusOutbreakhttps://twitter.com/therealkenvalor/status/1237488509931474944 …",,,#CloseTheSchools #CUNY #coronavirus #COVID19 #CoronavirusOutbreakhttps,1.24E+18,https://twitter.com/ValorOfficialCo/status/1237489068738588672
2020-03-10 21:57,corizzo,,1,0,4,Positive,Today I scrubbed my classroom and had students wipe down their seats with Clorox wipes. Answered questions about COVID-19. I think they’re feeling better. Im an elementary art teacher. #calmdownplz,,,#calmdownplz,1.24E+18,https://twitter.com/corizzo/status/1237490660397252620
2020-03-10 22:15,bdilch10,Harvard,0,0,1,Positive,@WestVirginiaU needs to follow suit. No need to send students away for spring break and then bring them back to dorms and apartment complexes with broad national and international exposures. Finish the semester online. It’s not worth the risk #COVID19 #wvuhttps://twitter.com/Harvard/status/1237355109148954628 …,,#NAME?,#COVID19 #wvuhttps,1.24E+18,https://twitter.com/bdilch10/status/1237497808908963842
2020-03-10 22:52,DrCVaccaro,,0,0,2,Positive,"Thank you @kmmash and @dan_greenstein for your leadership on responding to Covid-19. Your efforts will surely protect vulnerable PASSHE students, faculty, staff and administrators and contribute to the public health of Pennsylvania. #strongleadership",,#NAME?,#strongleadership,1.24E+18,https://twitter.com/DrCVaccaro/status/1237502484748185600
2020-03-10 23:21,JemmaEm,,0,0,0,Negative,@ohiou has moved classes online and yet they're 3.5 hours away from only 3 cases. @CUNY is a commuter school SYSTEM despite 173 cases confirmed in the state where thousand did students travel from. Im not scared of Covid-19 but there should be better protective measures taken.,,#NAME?,,1.24E+18,https://twitter.com/JemmaEm/status/1237511576795713536
2020-03-10 23:55,BryTheBrat,,0,0,0,Neutral,Clark Atlanta Students: Clark Atlanta University Should Switch to Online Classes until Further Notice | COVID19 - Sign the Petition! http://chng.it/PPqwQxZ9 via @Change,,#NAME?,,1.24E+18,https://twitter.com/BryTheBrat/status/1237519059463397377
2020-03-11 00:07,JerichoCurry,,1,0,2,Neutral,Duke University and Harvard University has informed their students to NOT return to campus after spring break until further notice. Students will meet online instead. #COVID19,,,#COVID19,1.24E+18,https://twitter.com/JerichoCurry/status/1237527630062039040
2020-03-11 01:06,IAmMonicaLewis,,0,0,1,Positive,Philly public schools are taking proactive measures to keep students and staff healthy as the #COVID19 public health matter evolves. I was proud to share details of our cleaning efforts with @CBSPhilly's @alecia__reid .https://philadelphia.cbslocal.com/2020/03/10/coronavirus-germantown-academy-close-student-tests-presumptive-positive/ …,,#NAME?,#COVID19,1.24E+18,https://twitter.com/IAmMonicaLewis/status/1237530663969931264
